codprod;descricaoproduto;embalagem;unidade;codepto;deptodescricao;codsec;secdescricao;codncmex;nbm;informacoestecnicas;codmarca;marca;codmarcatabelamarcas;marcatabelamarcas
9542;SUCO MARACUJA CONCENTRADO SERIGY 500ML ;500ML;UN;1;BEBIDAS;92;SUCO CONCENTRADO;20098990.;20098990;500ML;387;SERIGY;387;SERIGY
9548;COPO PL.150ML TRAN.COPOBRAS CFT150;C/100;TR;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.;39241000;PP;110;COPOBRAS;110;COPOBRAS
9559;PAO INTEGRAL PRE-MESCLA 5KG;5KG;UN;2;ALIMENTOS;228;MISTURA/MISTURA BOLO;19012090.1;19012090;5KG;337;PRE-MESCLA;337;PRE-MESCLA
9570;CORANTE LIQ.ARCOLOR PRETO 10ML;10ML;UN;2;ALIMENTOS;284;CORANTE/ESSENCIA;32041830.;32041830;10ML;21;ARCOLOR;21;ARCOLOR
9574;CORANTE LIQ.ARCOLOR PINK 10ML;10ML;UN;2;ALIMENTOS;284;CORANTE/ESSENCIA;32041830.;32041830;10ML;21;ARCOLOR;21;ARCOLOR
9577;CORANTE LIQ.ARCOLOR VERMELHO 10ML;10ML;UN;2;ALIMENTOS;284;CORANTE/ESSENCIA;32041830.;32041830;10ML;21;ARCOLOR;21;ARCOLOR
9583;MOLHO PIMENTA 250ML DAJUDA PET;250ML ;UN;2;ALIMENTOS;206;MOLHO;21039021.12;21039021;;;;;
9584;MOLHO SHOYU  250ML MITSUWA PREMIUM PET;250ML ;UN;2;ALIMENTOS;206;MOLHO;21031010.18;21031010;;;;;
9603;RECHEIO FORN.AO LEITE DOCEIRO 1,005KG;1,005KG;UN;2;ALIMENTOS;282;RECHEIO;18069000.1;18069000;;137;DOCEIRO;137;DOCEIRO
9604;RECHEIO FORN.BRANCO DOCEIRO 1,005KG ;1,005KG;UN;2;ALIMENTOS;282;RECHEIO;17049090.;17049090;;137;DOCEIRO;137;DOCEIRO
9638;UTEN.SACO POLIETILENO DESCART.CONFEI.LAM;C/50;PT;7;UTILIDADES;710;SACO CONFEITAR;39232990.1;39232990;C/50 COMP 41 LARG 24CM;230;LAMARE;230;LAMARE
9685;EMB.CRISTAL BIP10 RET.PEQU.ALTA;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;608;EMBALAGEM CRISTAL;39231090.;39231090;COMP 19 LARG 12 ALT 5,8CM;40;BIPACK;40;BIPACK
9687;EMB.CRISTAL BIP20 RET.DOCE/SALDAD;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;608;EMBALAGEM CRISTAL;39231090.;39231090;COMP 23,5 LARG 17 ALT 10,1CM;40;BIPACK;40;BIPACK
9694;EMB.CRISTAL BIP60A TORTA BRANCA ;C/50;CX;6;EMBALAGENS/DESCARTAVEIS;608;EMBALAGEM CRISTAL;39231090.;39231090;ALT 12,4 LARG 34,5CM - BASE BRANCA;40;BIPACK;40;BIPACK
9699;LEITE COND.PIRACANJUBA BAG 2,5KG;2.5KG;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;04029900.1;4029900;SEMIDESNATADO 6% DE GORDURA;328;PIRACANJUBA;328;PIRACANJUBA
9700;LEITE COND.PIRACANJUBA BAG 5KG;5KG;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;04029900.1;4029900;SEMIDESNATADO 6% DE GORDURA;328;PIRACANJUBA;328;PIRACANJUBA
9705;ALCOOL 92,8º ARAUCARIA 12X1L;12X1L;CX;5;LIMPEZA;530;ALCOOL;22071090.2;22071090;12X1L;20;ARAUCARIA;20;ARAUCARIA
9712;SAL REFIN.CRUZEIRO 10X1KG;10X1KG;FD;2;ALIMENTOS;274;SAL;25010020.;25010020;10X1KG;117;CRUZEIRO;117;CRUZEIRO
9717;MOLHO ESCURO DEMI GLACE KNORR 1,1KG;1,1KG;UN;2;ALIMENTOS;206;MOLHO;21039099.;21039099;1,1KG;225;KNORR;225;KNORR
9744;ESPUM. MALETA AURORA MOSCATEL C/2 TACAS;750ML;UN;1;BEBIDAS;40;ESPUMANTE;22041090.;22041090;TACA VIDRO;26;AURORA;26;AURORA
9809;DOCE COCO BRANCO SOCOCO COCADA CREMOSA ;335G;UN;2;ALIMENTOS;282;RECHEIO;20079990.;20079990;SUBSTITUI ANTIGO DOCE DE COCO;399;SOCOCO;399;SOCOCO
9813;COCO RALADO  100G UMIDO/ADOC.SWEET COCO;100G;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;08011100.;8011100;UMIDO E ADOCADO;399;SOCOCO;399;SOCOCO
9814;COCO RALADO  100G FLOCOS UMIDO/AD.SWEET;100G;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;08011100.1;8011100;FLOCOS UMIDO E ADOCADO;399;SOCOCO;399;SOCOCO
9815;COCO RALADO  100G QUEIMADO SWEET FLOCO;100G;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;08011100.1;8011100;FLOCOS QUEIMADO;399;SOCOCO;399;SOCOCO
9816;COCO RALADO   50G SECO SOCOCO;50G;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;08011100.1;8011100;PURO;399;SOCOCO;399;SOCOCO
9817;COCO RALADO  100G SECO SOCOCO;100G;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;08011100.1;8011100;PURO;399;SOCOCO;399;SOCOCO
9818;COCO RALADO  100G FLOCOS PURO FLOCOCO;100G;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;08011100.1;8011100;COCO EM FLOCOS INTEGRAL DESIDRATADO;399;SOCOCO;399;SOCOCO
9829;WHISKY J.WALKER RED LABEL 1L S/CART;1L;UN;1;BEBIDAS;4;WHISKY IMPORTADO;22083020.;22083020;1L;;;;
9840;BALA MOLE BOLA 7 FRAMBOESA 600G;600G;PT;3;BOMBONIERI;302;BALA;17049020.;17049020;600G;48;BOLA 7;48;BOLA 7
9841;BALA MOLE BOLA 7 MACA VERDE 600G;600G;PT;3;BOMBONIERI;302;BALA;17049020.;17049020;600G;48;BOLA 7;48;BOLA 7
9842;VODKA  GREY GOOSE  750ML (FRA);750ML;UN;1;BEBIDAS;8;VODKA IMPORTADA;22086000.19;22086000;750ML;186;GREY GOOSE;186;GREY GOOSE
9850;MAIONESE SACHE AUREA 189X6G;189X6G;CX;2;ALIMENTOS;210;MAIONESE;21039011.;21039011;;25;AUREA;25;AUREA
9851;CATCHUP SACHE AUREA 189X6G;189X6G;CX;2;ALIMENTOS;212;ATOMATADO/CATCHUP;21032010.;21032010;;25;AUREA;25;AUREA
9879;LEITE COND.395G PIRACANJUBA TP ;395G;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;04029900.12;4029900;SEMIDESNATADO;328;PIRACANJUBA;328;PIRACANJUBA
9880;CREME DE LEITE 200G PIRACANJUBA 17% TP ;200G;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;04015021.1;4015021;;328;PIRACANJUBA;328;PIRACANJUBA
9950;UTEN.BERMUDA BCA CONFEIT.BRIM P LAMARE;1;UN;7;UTILIDADES;708;VESTURARIO PROFISSIONAL;62046200.;62046200;1;;;;
9951;UTEN.BERMUDA BCA CONFEIT.BRIM M LAMARE;1;UN;7;UTILIDADES;708;VESTURARIO PROFISSIONAL;62046200.;62046200;1;;;;
9952;UTEN.BERMUDA BCA CONFEIT.BRIM G LAMARE;1;UN;7;UTILIDADES;708;VESTURARIO PROFISSIONAL;62046200.;62046200;1;;;;
9953;UTEN.BERMUDA BCA CONFEIT.BRIM GG LAMARE;1;UN;7;UTILIDADES;708;VESTURARIO PROFISSIONAL;62046200.;62046200;1;;;;
9957;FIBRA USO GERAL SCOTCH-BRITE 110X225MM ;C/2;FD;5;LIMPEZA;520;ESPONJA;68053090.;68053090;;477;3M;477;3M
9958;FIBRA SERV.PESADO SCOTCH-BRITE 110X225MM;C/2;FD;5;LIMPEZA;520;ESPONJA;68053090.;68053090;;477;3M;477;3M
9988;COB.GANACHE BRANCO MELKEN BD;4KG BALDE;UN;2;ALIMENTOS;282;RECHEIO;17049090.;17049090;;265;MELKEN;265;MELKEN
9989;COB.GANACHE M.AMARGO MELKEN BD;4KG BALDE;UN;2;ALIMENTOS;282;RECHEIO;18062000.;18062000;;265;MELKEN;265;MELKEN
9990;COB.GANACHE AO LEITE MELKEN BD;4KG BALDE;UN;2;ALIMENTOS;282;RECHEIO;18062000.;18062000;;265;MELKEN;265;MELKEN
10005;AZEITE PURO ANDORINHA POR.1% 500ML;500ML VD;UN;2;ALIMENTOS;216;AZEITE;15099090.5;15099090;PORTUGUES - ACIDEZ 1%;505;ANDORINHA;505;ANDORINHA
